features,d_corr,d_fisher,g_corr,g_fisher,collinear
alphaRatioV_sma3nz_amean,0.0056562970481077,7.968286000666078e-05,-0.07809742649864791,0.012874074432856743,
alphaRatioV_sma3nz_stddevNorm,-0.008430422748818884,0.00022005734502115199,0.06702837768200932,0.010072865639682444,
hammarbergIndexV_sma3nz_amean,0.03222366939703453,0.002590810562483386,-0.0010711724228319307,2.3977504985510825e-06,
hammarbergIndexV_sma3nz_stddevNorm,0.03206453711044074,0.0019106053010560303,-0.17101690949009313,0.06695932454054578,
slopeV0-500_sma3nz_amean,0.06638880781107236,0.010389660854507264,-0.5636240894191397,0.9542595879845076,
slopeV0-500_sma3nz_stddevNorm,0.0011816819878884854,4.24592219237005e-06,-0.009135685601701667,0.00020871006310561795,
slopeV500-1500_sma3nz_amean,0.005097696551530595,6.36109745467972e-05,0.059488782446076444,0.007419979705041361,
slopeV500-1500_sma3nz_stddevNorm,-0.004066502404930533,5.674315875571028e-05,0.012855178046533758,0.0003696650874974572,
spectralFluxV_sma3nz_amean,0.1349202154205796,0.036042741753159316,0.1174402286970168,0.03082317873442671,
spectralFluxV_sma3nz_stddevNorm,0.09081778305865795,0.019985194802607447,-0.21333141295603172,0.09790903273445899,
mfcc1V_sma3nz_amean,-0.030127137256494615,0.002344400500391072,0.1233560044819587,0.03280573605444005,
mfcc1V_sma3nz_stddevNorm,0.02772547859587468,0.0020908645914507664,-0.06351612476179931,0.006998265244322556,
mfcc2V_sma3nz_amean,-0.013414651004324343,0.0004196631760351785,0.15740581288691283,0.05185999084693059,
mfcc2V_sma3nz_stddevNorm,0.01253659682804581,0.00043614535345559995,0.00874699425991335,0.0001434097516633694,
mfcc3V_sma3nz_amean,-0.06579197847165172,0.010300614935619947,0.2739395970528764,0.16991337661000996,
mfcc3V_sma3nz_stddevNorm,-0.017122950992506613,0.0004892064238391652,0.0039225713298386335,2.5653715568446375e-05,
mfcc4V_sma3nz_amean,-0.0771827095675028,0.0141379232251674,0.40165930063791244,0.3989996963493959,
mfcc4V_sma3nz_stddevNorm,0.01229753915925423,0.00025220867089433875,0.018071985624543034,0.0008076256429998792,
alphaRatioUV_sma3nz_amean,0.026973709745635437,0.0017971439784721804,0.05554118642617436,0.006595793953658903,
hammarbergIndexUV_sma3nz_amean,-0.017103842366620322,0.0007174392310475068,-0.06302831104991002,0.008509610093987931,
slopeUV0-500_sma3nz_amean,0.009204691037127169,0.00021497677585023366,-0.2648245984184072,0.15620414617804143,
slopeUV500-1500_sma3nz_amean,-0.02544985982504485,0.0015653056417876726,0.14866262289565393,0.04755155036578249,
spectralFluxUV_sma3nz_amean,0.06271616583196948,0.008318729726793784,0.11832533687208138,0.03171056578759326,
loudnessPeaksPerSec,-0.0343346724336362,0.0028889179263304316,0.09513882202325478,0.019373579167813442,
VoicedSegmentsPerSec,0.005308179899674318,6.967441120111442e-05,-0.05102102175420375,0.005423409680934092,
MeanVoicedSegmentLengthSec,0.025794381974589515,0.0016423623935901011,-0.013828535348990952,0.0004046453002635823,
StddevVoicedSegmentLengthSec,0.024896306589098267,0.001509962163644812,-0.04181962702488723,0.0036812164115517737,
MeanUnvoicedSegmentLength,-0.03268404084110771,0.0029295404937405302,0.036987426489940946,0.0029683404082590267,
StddevUnvoicedSegmentLength,0.0012014523110211802,3.8683801874045644e-06,0.022434411450881726,0.0010703948371572508,
equivalentSoundLevel_dBp,0.09108667815375372,0.01984187273108389,0.08135217958283508,0.01383014215160618,
Participant_ID,-0.1386476671626542,0.054164081309353504,-0.1372215073216656,0.040057845950144506,
Depression,1.0,,-0.0989212135290251,,
Gender,-0.0989212135290251,,1.0,,
