features,d_corr,d_fisher,g_corr,g_fisher,collinear
F0semitoneFrom27.5Hz_sma3nz_amean,0.10749099307887176,0.028664417171770085,-0.5765369579351933,1.0012857849120165,
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.004798248871574233,5.664251725738494e-05,0.00565561553933125,6.777648183628976e-05,
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.10876415033713384,0.02925415954560611,-0.5852392372138974,1.0361405148100196,
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.11097839375222089,0.030454079496425757,-0.586117566702016,1.0506231242299444,
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.10415862141459024,0.02688780144181434,-0.5618036707560672,0.9330768339687815,
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.016493112393847292,0.0006529582140328762,-0.09290261706314912,0.01737963825925939,
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.04276416553353584,0.004302144873637228,-0.12325699327332541,0.030637714418862896,
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.050021935790545376,0.00574751933894484,-0.10045883093144786,0.019923280132017947,
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.022654401186397756,0.0012540654269809117,-0.047668414562512425,0.004872222485592721,
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.02820138765021164,0.001777280361635395,-0.0770209633229057,0.011943454346656354,
loudness_sma3_amean,0.16814618576675003,0.05684873280300051,0.012680345979745534,0.000341032913313104,
loudness_sma3_stddevNorm,0.06507180743577064,0.010438905136316855,-0.036763669016451846,0.0028221658154844544,
loudness_sma3_percentile20.0,0.08220074505536928,0.014591948776468485,0.02452180848620593,0.0012882936163113585,
loudness_sma3_percentile50.0,0.14047453095860543,0.040183442356462595,0.03953094010033101,0.003301400451941247,
loudness_sma3_percentile80.0,0.17423975262799093,0.06106317839223886,-0.0013334899428932062,3.765419225485927e-06,
loudness_sma3_pctlrange0-2,0.17798259139209954,0.06411820897474436,-0.00889737895413279,0.0001677047429908173,
loudness_sma3_meanRisingSlope,0.11481072420716348,0.027396414689982322,0.002653246265720699,1.5078490954015225e-05,
loudness_sma3_stddevRisingSlope,0.09686603445563866,0.020044088146245004,-0.008565810635950607,0.00015368702786745567,
loudness_sma3_meanFallingSlope,0.1033270570755007,0.022885512484153634,0.04990523427403436,0.00536409866146516,
loudness_sma3_stddevFallingSlope,0.09104796894182929,0.01753919884269778,0.047581338859310915,0.004882994509703173,
spectralFlux_sma3_amean,0.11900512029160477,0.02890343339438597,0.12516559275226136,0.03558160783494516,
spectralFlux_sma3_stddevNorm,0.05017129836105601,0.0062522829662781405,-0.12426987195759817,0.032462660043531474,
mfcc1_sma3_amean,-0.03127243261128934,0.002418589914440007,0.0644455904595725,0.008752975782645746,
mfcc1_sma3_stddevNorm,0.02030336385625807,0.0011631176703880306,0.021789112887536058,0.0010665051265383394,
